Chunk,GT
Out of Memory: Killed process 2056 (httpd).; Out of Memory: Killed process 2057 (httpd).; Out of Memory: Killed process 2059 (httpd).; Out of Memory: Killed process 2060 (httpd).; Out of Memory: Killed process 2061 (httpd).,"<start>Multiple 'Out of Memory' errors resulted in the termination of several 'httpd' processes, indicating a critical memory management issue that could lead to service disruption and degraded performance of web services.</end>"
Out of Memory: Killed process 31008 (httpd).; Out of Memory: Killed process 31009 (httpd).; Out of Memory: Killed process 31012 (httpd).; Out of Memory: Killed process 31013 (httpd).; Out of Memory: Killed process 31014 (httpd).,"<start>Multiple 'Out of Memory' errors have resulted in the termination of several 'httpd' processes, indicating a critical memory management issue that could lead to service disruptions and degraded performance of web services.</end>"
session closed for user news; connection from 81.181.213.88 (88-213-181-81-cable.canals.ro) at Sat Oct 22 06:32:11 2005; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.220.149.227 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.220.149.227 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.220.149.227 user=test,"<start>Multiple authentication failures detected for user 'test' from IP address 211.220.149.227, indicating potential unauthorized access attempts. This could pose a security risk and should be investigated further.</end>"
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.198.225.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.198.225.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.198.225.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.198.225.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.198.225.248 user=root,"<start>Multiple authentication failures detected from IP address 211.198.225.248 attempting to access the system as root via SSH. This indicates a potential brute force attack or unauthorized access attempt, posing a significant security risk.</end>"
"NET-SNMP version 5.1.1; ntpd startup succeeded; listening on IPv4 interface eth0:13, 63.126.79.87#53; audit(1138296202.196:708129): syscall=102 exit=0 a0=2 a1=feee9ba0 a2=1877bc a3=feee9bdc items=0 pid=2300 loginuid=-1 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0; listening on IPv4 interface eth0:14, 63.126.79.89#53",<start>normal</end>
Out of Memory: Killed process 27120 (httpd).; Out of Memory: Killed process 27124 (httpd).; Out of Memory: Killed process 27122 (httpd).; Out of Memory: Killed process 27126 (httpd).; Out of Memory: Killed process 27130 (httpd).,"<start>Multiple 'Out of Memory' errors have resulted in the termination of several 'httpd' processes, indicating a critical memory management issue that could lead to service disruptions and degraded performance of web services.</end>"
Out of Memory: Killed process 26616 (httpd).; Out of Memory: Killed process 26635 (httpd).; Out of Memory: Killed process 27081 (httpd).; Out of Memory: Killed process 26636 (httpd).; Out of Memory: Killed process 27080 (httpd).,"<start>Multiple 'Out of Memory' errors have resulted in the termination of several 'httpd' processes, indicating a critical memory management issue that could lead to service disruptions and degraded performance of web services.</end>"
ALERT exited abnormally with [1]; session opened for user news by (uid=0); session closed for user news; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202.39.240.228 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202.39.240.228 user=root,"<start>Multiple authentication failures for user 'root' from IP address 202.39.240.228 indicate potential unauthorized access attempts. This poses a security risk and should be investigated to prevent possible breaches. Additionally, an abnormal exit with code [1] suggests a process failure that may need further examination.</end>"
Out of Memory: Killed process 24605 (httpd).; Out of Memory: Killed process 24606 (httpd).; Out of Memory: Killed process 24650 (httpd).; Out of Memory: Killed process 24716 (httpd).; Out of Memory: Killed process 24741 (httpd).,"<start>The system is experiencing severe memory shortages, leading to the termination of multiple 'httpd' processes. This indicates a critical performance issue that could disrupt web server operations and affect service availability.</end>"
Out of Memory: Killed process 14597 (httpd).; Out of Memory: Killed process 14598 (httpd).; Out of Memory: Killed process 14591 (python).; Out of Memory: Killed process 14599 (httpd).; Out of Memory: Killed process 14600 (httpd).,"<start>The system is experiencing severe memory shortages, leading to the termination of multiple processes, including several instances of 'httpd' and a 'python' process. This indicates a critical resource management issue that could disrupt web services and application functionality.</end>"
